Type,Operation_Number,Routing_Link,Description,Work_Center,Part_Number,Quantity,UOM,Setup_Time_Min,Cycle_Time_Min,Queue_Time_Min,Move_Time_Min,Labor_Rate_Per_Hour,Machine_Rate_Per_Hour,Total_Cost,Supplier,Lead_Time_Days,Issue_Method,Scrap_Percent,Yield_Percent,Concurrent_Ops,Ref_Designator,Quality_Check,Notes
Operation,010,RL-010,Material Prep & Cutting,WC-CUT-01,-,1,LOT,15,8,30,5,25.00,45.00,0,-,0,-,-,98.5,None,-,Dimensional,Laser cutting of steel plates
Component,010,RL-010,Steel Plate 1/4 inch,WC-CUT-01,STL-PLT-025,2,EA,0,0,0,0,0,0,45.50,Steel Supply Co,7,Backflush,2.0,98.0,-,A1,-,A36 Steel 12x8 inch
Component,010,RL-010,Cutting Fluid,WC-CUT-01,CUT-FLD-001,0.5,GAL,0,0,0,0,0,0,3.25,Industrial Fluids,3,Manual,0,100,-,-,-,Biodegradable cutting fluid
Operation,020,RL-020,Machining - Drilling & Tapping,WC-MACH-02,-,1,LOT,20,12,45,10,28.00,55.00,0,-,0,-,-,97.0,None,-,Dimensional,CNC drilling and tapping operations
Component,020,RL-020,Drill Bit 1/4 inch,WC-MACH-02,TOOL-DB-025,0.1,EA,0,0,0,0,0,0,2.50,Cutting Tools Inc,5,Manual,10.0,90.0,-,-,-,HSS drill bit consumable
Component,020,RL-020,Tap M8x1.25,WC-MACH-02,TOOL-TAP-M8,0.05,EA,0,0,0,0,0,0,1.25,Cutting Tools Inc,5,Manual,5.0,95.0,-,-,-,M8 tap consumable
Component,020,RL-020,Cutting Oil,WC-MACH-02,CUT-OIL-002,0.2,GAL,0,0,0,0,0,0,4.80,Industrial Fluids,3,Backflush,0,100,-,-,-,High-performance cutting oil
Operation,030,RL-030,Welding Assembly,WC-WELD-01,-,1,LOT,25,35,60,15,32.00,25.00,0,-,0,-,-,96.0,None,-,Visual,MIG welding of frame components
Component,030,RL-030,Welding Wire ER70S-6,WC-WELD-01,WELD-W-706,0.75,LB,0,0,0,0,0,0,4.50,Welding Supply,3,Backflush,3.0,97.0,-,-,-,0.035 inch diameter
Component,030,RL-030,Shielding Gas - Argon/CO2,WC-WELD-01,GAS-AR-CO2,15,CF,0,0,0,0,0,0,8.75,Industrial Gases,2,Backflush,1.0,99.0,-,-,-,75% Argon 25% CO2 mix
